,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Target
436,1,0,3.3,5,4,3,66,800.0,0
437,1,0,3.5,15,1,6,66,250.0,0
438,1,0,3.4,4,4,2,51,500.0,0
440,1,0,3.6,17,4,6,66,300.0,0
441,1,0,3.3,6,1,6,62,500.0,0
442,1,0,3.4,10,1,6,59,100.0,0
443,1,1,4.1,775,1,2,53,800.0,1
444,1,1,4.2,2022,18,2,54,1.0,1
446,1,1,4.2,150,1,1,66,600.0,1
447,1,0,4.0,232,4,2,45,750.0,1
448,1,0,3.9,38,4,6,21,200.0,1
449,1,1,3.5,431,18,2,43,800.0,0
450,1,1,4.2,2115,1,2,66,800.0,1
451,1,0,3.4,30,42,6,66,200.0,0
452,1,0,4.2,150,18,2,43,800.0,1
453,1,0,3.3,12,42,6,66,200.0,0
454,1,0,3.8,155,18,2,64,450.0,1
455,1,0,3.7,33,4,6,31,200.0,0
456,1,1,4.1,666,18,3,66,1.0,1
458,1,0,3.9,240,4,1,16,700.0,1
459,1,0,3.8,918,1,8,66,800.0,1
460,1,0,4.0,465,18,2,64,600.0,1
461,1,1,4.1,970,18,8,66,1.5,1
462,1,0,3.3,128,1,6,45,300.0,0
463,1,0,3.6,241,42,6,45,300.0,0
464,1,0,3.4,22,1,6,59,200.0,0
465,1,0,4.3,734,1,6,64,200.0,1
466,1,0,3.8,130,18,6,44,400.0,1
467,1,0,4.2,261,18,1,66,700.0,1
468,1,0,4.0,191,42,6,66,300.0,1
469,1,0,4.1,364,4,2,66,550.0,1
470,1,0,3.8,133,1,6,66,300.0,1
471,1,0,3.9,888,1,2,66,750.0,1
472,1,0,3.1,13,1,1,66,400.0,0
473,1,0,3.9,750,4,2,49,500.0,1
474,1,1,4.2,164,1,1,66,500.0,1
475,1,0,3.2,6,1,4,66,200.0,0
476,1,0,3.8,527,4,2,43,500.0,1
477,0,0,4.3,345,1,5,37,400.0,1
478,0,0,4.4,356,1,8,41,150.0,1
479,1,0,3.7,17,1,5,29,400.0,0
480,1,0,3.9,38,1,5,36,150.0,1
481,0,0,3.7,78,1,8,3,150.0,0
482,0,0,3.8,60,1,5,3,400.0,1
483,1,0,4.0,115,1,8,42,400.0,1
484,0,0,3.8,39,1,0,4,300.0,1
485,1,0,3.9,116,1,5,66,400.0,1
486,1,0,3.8,918,1,8,66,800.0,1
487,0,0,3.7,46,1,8,42,400.0,0
488,1,0,3.9,41,1,5,27,300.0,1
489,1,0,3.8,144,1,1,66,700.0,1
490,0,0,3.8,28,1,8,66,150.0,1
491,1,0,4.3,860,1,5,30,500.0,1
492,0,0,3.5,14,1,8,42,200.0,0
493,0,0,4.0,66,1,0,4,300.0,1
494,1,0,3.2,8,1,8,42,100.0,0
495,1,0,3.7,54,1,8,66,400.0,0
496,0,0,3.5,7,1,5,27,500.0,0
497,0,0,3.2,9,1,5,36,300.0,0
498,0,0,3.6,42,1,8,66,300.0,0
499,0,0,3.8,64,1,6,66,250.0,1
500,1,0,3.6,14,1,0,4,350.0,0
501,0,0,3.8,45,1,7,3,400.0,1
502,0,0,3.2,11,1,1,17,600.0,0
503,0,0,3.5,13,1,0,4,300.0,0
504,0,0,3.4,7,1,5,37,150.0,0
505,0,0,3.4,8,1,0,4,400.0,0
508,0,0,2.9,25,1,5,37,200.0,0
509,0,0,3.2,17,1,5,30,150.0,0
513,1,0,3.9,35,1,4,4,500.0,1
514,1,0,3.9,70,1,5,66,400.0,1
515,0,0,4.0,98,4,8,66,400.0,1
516,0,0,3.7,25,4,5,37,250.0,0
517,1,0,4.0,219,4,1,66,600.0,1
518,1,0,4.0,73,4,0,66,300.0,1
519,0,0,3.6,16,4,8,66,150.0,0
520,0,0,3.6,8,4,0,4,250.0,0
521,1,0,3.8,15,4,0,3,400.0,1
522,0,0,3.6,46,4,8,42,200.0,0
524,1,0,3.3,13,4,8,66,300.0,0
525,1,0,3.3,9,4,5,27,250.0,0
526,1,0,4.0,43,4,5,30,250.0,1
527,1,0,2.7,97,4,2,64,400.0,0
529,1,0,3.7,22,4,8,66,250.0,0
530,0,0,3.5,15,4,8,3,400.0,0
532,1,0,3.6,27,4,5,31,250.0,0
533,1,0,3.9,888,1,2,66,750.0,1
534,1,1,4.0,349,1,2,66,1.2,1
535,1,0,4.2,287,1,6,43,350.0,1
536,1,1,4.6,2556,1,8,66,600.0,1
537,1,1,4.2,354,1,2,66,800.0,1
538,1,1,4.1,775,1,2,53,800.0,1
539,1,1,4.2,2115,1,2,66,800.0,1
540,0,1,3.8,977,1,8,35,1.3,1
541,0,0,4.1,868,1,8,66,1.2,1
542,1,0,4.0,324,1,1,66,700.0,1
543,1,0,4.1,787,1,2,66,800.0,1
544,1,0,4.2,504,1,1,66,550.0,1
545,1,0,4.1,402,1,1,16,500.0,1
546,1,1,4.2,150,1,1,66,600.0,1
547,1,1,4.2,164,1,1,66,500.0,1
548,0,0,4.2,244,1,2,66,800.0,1
549,1,0,4.0,771,1,2,63,450.0,1
550,1,0,4.2,1647,1,2,25,600.0,1
551,0,1,4.0,808,1,2,45,850.0,1
552,0,0,4.0,424,1,1,18,450.0,1
